"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner","rank_diff"
"1",12,2020,"DET","HOU",29,23,"HOU",6
"2",12,2020,"DAL","WAS",30,21,"WAS",9
"3",12,2020,"PIT","BAL",1,8,"PIT",7
"4",12,2020,"ATL","LV",19,18,"LV",1
"5",12,2020,"BUF","LAC",6,11,"BUF",5
"6",12,2020,"CIN","NYG",25,27,"CIN",2
"7",12,2020,"IND","TEN",10,14,"IND",4
"8",12,2020,"MIN","CAR",13,20,"MIN",7
"9",12,2020,"NE","ARI",22,12,"ARI",10
"10",12,2020,"NYJ","MIA",32,15,"MIA",17
"11",12,2020,"JAX","CLE",31,9,"CLE",22
"12",12,2020,"DEN","NO",28,5,"NO",23
"13",12,2020,"LA","SF",4,17,"LA",13
"14",12,2020,"TB","KC",7,2,"KC",5
"15",12,2020,"GB","CHI",3,26,"GB",23
"16",12,2020,"PHI","SEA",24,16,"SEA",8
