"","type","home_team","away_team","week","season","home_score.x","away_score.x","winner","home_winner","away_winner","home_conference","home_division","away_conference","away_division","conference_game","division_game","year","month","day","away_score.y","temperature","wind_chill","humidity","wind_mph","weather","latitude","longitude","Capacity","Field","Elevation","margin_of_victory"
"1","reg","PIT","TEN",1,2009,13,10,"PIT",TRUE,FALSE,"AFC","AFC North","AFC","AFC South",TRUE,FALSE,"09","09","10",10,67,NA,"64%",9,"67 degrees- relative humidity 64%- wind 9 mph",40.446786,-80.015761,65500,"Grass",1371,3
"2","reg","CLE","MIN",1,2009,20,34,"MIN",FALSE,TRUE,"AFC","AFC North","NFC","NFC North",FALSE,FALSE,"09","09","13",34,64,NA,"71%",4,"64 degrees- relative humidity 71%- wind 4 mph",41.506022,-81.699564,68000,"Grass",653,14
"3","reg","NO","DET",1,2009,45,27,"NO",TRUE,FALSE,"NFC","NFC South","NFC","NFC North",TRUE,FALSE,"09","09","13",27,72,NA,NA,NA,"72 degrees- no wind",29.950931,-90.081364,76468,"Turf",-1,18
"4","reg","TB","DAL",1,2009,21,34,"DAL",FALSE,TRUE,"NFC","NFC South","NFC","NFC East",TRUE,FALSE,"09","09","13",34,82,NA,"82%",9,"82 degrees- relative humidity 82%- wind 9 mph",27.975967,-82.50335,65890,"Grass",48,13
"5","reg","HOU","NYJ",1,2009,7,24,"NYJ",FALSE,TRUE,"AFC","AFC South","AFC","AFC East",TRUE,FALSE,"09","09","13",24,72,NA,NA,NA,"72 degrees- no wind",29.684781,-95.410956,71500,"Grass",105,17
"6","reg","IND","JAX",1,2009,14,12,"IND",TRUE,FALSE,"AFC","AFC South","AFC","AFC South",TRUE,TRUE,"09","09","13",12,72,NA,NA,NA,"72 degrees- no wind",39.760056,-86.163806,63000,"Turf",715,2
"7","reg","CIN","DEN",1,2009,7,12,"DEN",FALSE,TRUE,"AFC","AFC North","AFC","AFC West",TRUE,FALSE,"09","09","13",12,67,NA,"55%",8,"67 degrees- relative humidity 55%- wind 8 mph",39.095442,-84.516039,65515,"Turf",482,5
"8","reg","CAR","PHI",1,2009,10,38,"PHI",FALSE,TRUE,"NFC","NFC South","NFC","NFC East",TRUE,FALSE,"09","09","13",38,73,NA,"59%",7,"73 degrees- relative humidity 59%- wind 7 mph",35.225808,-80.852861,73778,"Grass",761,28
"9","reg","BAL","KC",1,2009,38,24,"BAL",TRUE,FALSE,"AFC","AFC North","AFC","AFC West",TRUE,FALSE,"09","09","13",24,69,NA,"74%",7,"69 degrees- relative humidity 74%- wind 7 mph",39.277969,-76.622767,71008,"Turf",493,14
"10","reg","ATL","MIA",1,2009,19,7,"ATL",TRUE,FALSE,"NFC","NFC South","AFC","AFC East",FALSE,FALSE,"09","09","13",7,72,NA,NA,NA,"72 degrees- no wind",33.757614,-84.400972,71000,"Turf",1050,12
"11","reg","ARI","SF",1,2009,16,20,"SF",FALSE,TRUE,"NFC","NFC West","NFC","NFC West",TRUE,TRUE,"09","09","13",20,72,NA,NA,NA,"72 degrees- no wind",33.5277,-112.262608,63400,"Grass",1152,4
"12","reg","SEA","LA",1,2009,28,0,"SEA",TRUE,FALSE,"NFC","NFC West","NFC","NFC West",TRUE,TRUE,"09","09","13",0,68,NA,"63%",8,"68 degrees- relative humidity 63%- wind 8 mph",47.595153,-122.331625,67000,"Turf",170,28
"13","reg","NYG","WAS",1,2009,23,17,"NYG",TRUE,FALSE,"NFC","NFC East","NFC","NFC East",TRUE,TRUE,"09","09","13",17,71,NA,"70%",9,"71 degrees- relative humidity 70%- wind 9 mph",40.812194,-74.076983,82500,"Turf",3,6
"14","reg","GB","CHI",1,2009,21,15,"GB",TRUE,FALSE,"NFC","NFC North","NFC","NFC North",TRUE,TRUE,"09","09","13",15,67,NA,"69%",5,"67 degrees- relative humidity 69%- wind 5 mph",44.501306,-88.062167,80735,"Grass",581,6
"15","reg","NE","BUF",1,2009,25,24,"NE",TRUE,FALSE,"AFC","AFC East","AFC","AFC East",TRUE,TRUE,"09","09","14",24,68,NA,"56%",11,"68 degrees- relative humidity 56%- wind 11 mph",42.090925,-71.26435,68756,"Turf",289,1
"16","reg","OAK","LAC",1,2009,20,24,"LAC",FALSE,TRUE,"AFC","AFC West","AFC","AFC West",TRUE,TRUE,"09","09","14",24,64,NA,"81%",12,"64 degrees- relative humidity 81%- wind 12 mph",37.751411,-122.200889,53250,"Grass",43,4
